   0.0 TEL | Telepresence 0.97 launched at Fri Mar 29 02:37:53 2019
   2.6 >>> | Starting network proxy to cluster using new Deployment telepresence-1553841473-440823-355
   2.6 TEL | [9] Capturing: kubectl --context kubernetes-eks-poc --namespace default delete --ignore-not-found svc,deploy --selector=telepresence=f3d91f191646468483617d8a6a20aea1
   2.9 TEL | [10] Capturing: kubectl --context kubernetes-eks-poc --namespace default run --restart=Always --limits=cpu=100m,memory=256Mi --requests=cpu=25m,memory=64Mi telepresence-1553841473-440823-355 --image=datawire/telepresence-k8s:0.97 --labels=telepresence=f3d91f191646468483617d8a6a20aea1
   3.2  10 | kubectl run --generator=deployment/apps.v1 is DEPRECATED and will be removed in a future version. Use kubectl run --generator=run-pod/v1 or kubectl create instead.
   3.2  10 | deployment.apps/telepresence-1553841473-440823-355 created
   3.2 TEL | END SPAN deployment.py:61(create_new_deployment)    0.6s
   3.2 TEL | BEGIN SPAN remote.py:154(get_remote_info)
   3.2 TEL | BEGIN SPAN remote.py:78(get_deployment_json)
   3.2 TEL | [11] Capturing: kubectl --context kubernetes-eks-poc --namespace default get deployment -o json --export --selector=telepresence=f3d91f191646468483617d8a6a20aea1
   3.5 TEL | END SPAN remote.py:78(get_deployment_json)    0.2s
   5.5 TEL | CRASH: Expecting value: line 1 column 1 (char 0)
   5.5 TEL | Traceback (most recent call last):
   5.5 TEL |   File "/usr/local/bin/telepresence/telepresence/cli.py", line 130, in crash_reporting
   5.5 TEL |     yield
   5.5 TEL |   File "/usr/local/bin/telepresence/telepresence/main.py", line 60, in main
   5.5 TEL |     remote_info = start_proxy(runner)
   5.5 TEL |   File "/usr/local/bin/telepresence/telepresence/proxy/__init__.py", line 104, in start_proxy
   5.5 TEL |     run_id=run_id,
   5.5 TEL |   File "/usr/local/bin/telepresence/telepresence/proxy/remote.py", line 156, in get_remote_info
   5.5 TEL |     runner, deployment_name, deployment_type, run_id=run_id
   5.5 TEL |   File "/usr/local/bin/telepresence/telepresence/proxy/remote.py", line 101, in get_deployment_json
   5.5 TEL |     stderr=STDOUT
   5.5 TEL |   File "/usr/local/Cellar/python/3.7.3/Frameworks/Python.framework/Versions/3.7/lib/python3.7/json/__init__.py", line 348, in loads
   5.5 TEL |     return _default_decoder.decode(s)
   5.5 TEL |   File "/usr/local/Cellar/python/3.7.3/Frameworks/Python.framework/Versions/3.7/lib/python3.7/json/decoder.py", line 337, in decode
   5.5 TEL |     obj, end = self.raw_decode(s, idx=_w(s, 0).end())
   5.5 TEL |   File "/usr/local/Cellar/python/3.7.3/Frameworks/Python.framework/Versions/3.7/lib/python3.7/json/decoder.py", line 355, in raw_decode
   5.5 TEL |     raise JSONDecodeError("Expecting value", s, err.value) from None
   5.5 TEL | json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
   5.5 TEL | (calling crash reporter...)
   8.6 >>> | Exit cleanup in progress
   8.6 TEL | (Cleanup) Delete new deployment
   8.6 >>> | Cleaning up Deployment telepresence-1553841473-440823-355
   8.6 TEL | [12] Capturing: kubectl --context kubernetes-eks-poc --namespace default delete --ignore-not-found svc,deploy --selector=telepresence=f3d91f191646468483617d8a6a20aea1
   9.0 TEL | (Cleanup) Kill sudo privileges holder
   9.0 TEL | (Cleanup) Stop time tracking
   9.0 TEL | END SPAN main.py:40(main)    9.0s
   9.0 TEL | (Cleanup) Remove temporary directory
   9.0 TEL | (Cleanup) Save caches
   9.1 TEL | (sudo privileges holder thread exiting)
